epoch,phase,node0_memfree_kb,global_memavailable_kb,top_py_pid,top_py_vmrss_kb
1785937009,t2b348,228307968,1175000064,0,0
1785937013,t2b348,221651456,1168318208,0,0
1785937017,t2b348,212710272,1159378752,0,0
1785937021,t2b348,207810368,1150760704,0,0
1785937025,t2b348,199335104,1137994496,0,0
1785937029,t2b348,194927616,1133593664,0,0
1785937033,t2b348,186126592,1124790784,0,0
1785937037,t2b348,177654272,1116315456,0,0
1785937041,t2b348,173384768,1112047168,0,0
1785937045,t2b348,164811968,1103478656,0,0
1785937049,t2b348,160786880,1099452224,0,0
1785937053,t2b348,152475456,1091141504,0,0
1785937057,t2b348,144914304,1083577664,0,0
1785937061,t2b348,139699520,1078370624,0,0
1785937065,t2b348,131264960,1069937792,0,0
1785937068,t2b348,126861568,1065522432,0,0
1785937072,t2b348,118157568,1056823744,0,0
1785937076,t2b348,111299392,1049957824,0,0
1785937080,t2b348,105359168,1044033664,0,0
1785937084,t2b348,96926656,1035596352,0,0
1785937088,t2b348,92749824,1031425600,0,0
1785937092,t2b348,84217600,1022891712,0,0
1785937096,t2b348,77821824,1016487552,0,0
1785937100,t2b348,71722688,1010390784,0,0
1785937104,t2b348,63505856,1002183744,0,0
1785937108,t2b348,59533120,998189504,0,0
1785937112,t2b348,51156672,989836224,0,0
1785937116,t2b348,42673280,981348736,0,0
1785937120,t2b348,38428032,977111168,0,0
1785937124,t2b348,30109056,968783488,0,0
1785937128,t2b348,23488704,962165440,0,0
1785937132,t2b348,17222848,955900672,0,0
1785937136,t2b348,12254912,949911488,0,0
1785937144,t2b348,14632128,952370752,0,0
1785937151,t2b348,10496064,941532160,0,0
1785937155,t2b348,15320192,926491968,0,0
1785937160,t2b348,10126464,897405504,0,0
1785937165,t2b348,10400640,847697728,0,0
1785937169,t2b348,12948800,811824448,0,0
1785937172,t2b348,15072000,788611904,0,0
1785937176,t2b348,15072320,787723136,0,0
1785937180,t2b348,14707072,786713792,0,0
1785937184,t2b348,13207296,785216640,0,0
1785937188,t2b348,12164928,775832768,0,0
1785937191,t2b348,12136192,771447168,0,0
1785937195,t2b348,14347392,772195712,0,0
1785937198,t2b348,14332160,771017280,0,0
1785937202,t2b348,14269440,770013376,0,0
1785937206,t2b348,14188672,769352128,0,0
1785937209,t2b348,13133952,767999296,0,0
1785937213,t2b348,14441728,767010368,0,0
1785937217,t2b348,13419712,765739904,0,0
1785937220,t2b348,12486976,764470016,0,0
1785937224,t2b348,12016960,762896320,0,0
1785937228,t2b348,12017920,761590592,0,0
1785937231,t2b348,13739072,763984832,0,0
1785937235,t2b348,12809984,762765568,0,0
1785937239,t2b348,12010112,761425280,0,0
1785937242,t2b348,12005696,760224000,0,0
1785937246,t2b348,13949952,764067136,0,0
1785937250,t2b348,13121280,762574784,0,0
1785937253,t2b348,12205632,761231808,0,0
1785937257,t2b348,12017664,760012288,0,0
1785937260,t2b348,12016512,758858944,0,0
1785937264,t2b348,14840640,761585600,0,0
1785937268,t2b348,14046208,760305728,0,0
1785937271,t2b348,13484672,759464320,0,0
1785937275,t2b348,12932608,758530688,0,0
1785937279,t2b348,12567040,757908352,0,0
1785937282,t2b348,12310336,757297792,0,0
1785937286,t2b348,12131968,756900288,0,0
1785937289,t2b348,12039616,756576448,0,0
1785937293,t2b348,14024192,759675008,0,0
1785937297,t2b348,13405184,758547008,0,0
1785937300,t2b348,13216512,757858752,0,0
1785937304,t2b348,13110208,757320960,0,0
1785937308,t2b348,12971200,756864576,0,0
1785937311,t2b348,13001984,756622592,0,0
1785937315,t2b348,12942016,756271360,0,0
1785937318,t2b348,12894336,756027456,0,0
1785937322,t2b348,12681792,755704320,0,0
1785937326,t2b348,12241408,755226240,0,0
1785937330,t2b348,14242048,758216384,0,0
1785937333,t2b348,13939008,757595712,0,0
1785937337,t2b348,13757248,757066688,0,0
1785937341,t2b348,13783168,756713152,0,0
1785937344,t2b348,13760896,756469056,0,0
1785937348,t2b348,13787264,756291968,0,0
1785937351,t2b348,13694144,756067840,0,0
1785937355,t2b348,13620864,755881920,0,0
1785937359,t2b348,13687424,755660160,0,0
