epoch,phase,node0_memfree_kb,global_memavailable_kb,top_rss_kb
1785944207,f2t3_368000,314318400,1311714304,628000768
1785944209,f2t3_368000,313843392,1311403712,628645888
1785944211,f2t3_368000,313141888,1310929792,629180416
1785944213,f2t3_368000,312606784,1310611264,629770240
1785944215,f2t3_368000,312243520,1310464512,630249472
1785944217,f2t3_368000,311766656,1310152128,630765568
1785944219,f2t3_368000,311205696,1309782080,631244800
1785944221,f2t3_368000,310695616,1309440000,631724032
1785944223,f2t3_368000,310196736,1309106880,627559168
1785944225,f2t3_368000,309867072,1308936640,627964672
1785944227,f2t3_368000,309391872,1308589184,628351744
1785944229,f2t3_368000,309173888,1308505280,628646656
1785944231,f2t3_368000,308858240,1308311488,628960000
1785944233,f2t3_368000,308563648,1308151552,629254912
1785944235,f2t3_368000,308325440,1308068352,629826304
1785944238,f2t3_368000,307890240,1307785792,630305536
1785944240,f2t3_368000,307451840,1307501056,630766336
1785944242,f2t3_368000,307054720,1307218560,631079680
1785944244,f2t3_368000,306627968,1306894336,631503616
1785944246,f2t3_368000,306268608,1306700928,631780096
1785944248,f2t3_368000,305894400,1306489472,632167168
1785944250,f2t3_368000,305473280,1306244160,632701696
1785944252,f2t3_368000,304780160,1305671040,633107200
1785944254,f2t3_368000,304166784,1305269760,633586432
1785944256,f2t3_368000,303577216,1304857408,634176256
1785944258,f2t3_368000,302926016,1304434112,634747648
1785944260,f2t3_368000,302325632,1304050432,635448064
1785944262,f2t3_368000,301842944,1303788416,635890432
1785944264,f2t3_368000,301296192,1303409152,636609280
1785944266,f2t3_368000,300686336,1303068224,637328128
1785944268,f2t3_368000,300268416,1302873344,637825792
1785944270,f2t3_368000,299832064,1302632960,638378752
1785944272,f2t3_368000,299346432,1302340736,639116032
1785944274,f2t3_368000,298742464,1301991040,639724288
1785944276,f2t3_368000,298296128,1301745408,635532096
1785944278,f2t3_368000,297959552,1301571008,635992896
1785944281,f2t3_368000,297011264,1301056064,637098816
1785944283,f2t3_368000,296779648,1298146944,635096896
